Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup,Start Timestamp
Case 3608,Assign seriousness,Value 2,2010-01-13 08:40:25.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3,2010-01-13 08:28:42.125545
Case 2748,Assign seriousness,Value 2,2010-01-13 12:26:04.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-13 12:10:55.760892
Case 4284,Assign seriousness,Value 2,2010-01-13 12:30:37.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1,2010-01-13 11:31:50.637969
Case 1534,Assign seriousness,Value 2,2010-01-13 13:09:31.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3,2010-01-13 12:10:33.630297
Case 406,Assign seriousness,Value 2,2010-01-13 17:25:25.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-13 16:53:51.855227
Case 406,Assign seriousness,Value 2,2010-01-13 17:25:38.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-13 17:13:35.196019
Case 4539,Assign seriousness,Value 2,2010-01-14 09:10:48.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1,2010-01-14 08:39:51.822153
Case 4539,Assign seriousness,Value 2,2010-01-14 09:11:02.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1,2010-01-14 08:50:10.451200
Case 2118,Assign seriousness,Value 2,2010-01-14 09:52:50.000,Variant 1,1,Variant 1,Value 1,Value 236,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3,2010-01-14 08:58:59.036764
Case 3625,Assign seriousness,Value 2,2010-01-14 10:35:38.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1,2010-01-14 10:16:27.697337
