Activity,lifecycle:transition_start,Resource,Start Timestamp,Activity_start,Resource_start,Case ID,case:variant_start,case:variant-index_start,case:creator_start,event_index_start,EventID,lifecycle:transition_complete,org:resource_complete,Complete Timestamp,Activity_complete,Resource_complete,case:variant_complete,case:variant-index_complete,case:creator_complete,event_index_complete,duration,duration_seconds,duration_ms,duration_hours
Traer informacion estudiante - banner,start,8997,2016-02-01 13:23:52,Traer informacion estudiante - banner,8997,81051,Variant 2,2,Fluxicon Disco,0,81051_Traer informacion estudiante - banner_0,complete,8997,2016-02-01 13:23:52,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8997,2016-02-01 13:24:02,Radicar Solicitud Homologacion,8997,81051,Variant 2,2,Fluxicon Disco,0,81051_Radicar Solicitud Homologacion_0,complete,8997,2016-02-01 13:24:02,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Validar solicitud,start,387,2016-02-01 13:27:47,Validar solicitud,387,81051,Variant 2,2,Fluxicon Disco,0,81051_Validar solicitud_0,complete,387,2016-02-01 13:32:06,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:04:19,259.0,259000.0,0.07194444444444445
Homologacion por grupo de cursos,start,1007,2016-02-01 21:19:41,Homologacion por grupo de cursos,1007,81051,Variant 2,2,Fluxicon Disco,0,81051_Homologacion por grupo de cursos_0,complete,1007,2016-02-01 21:38:15,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:18:34,1114.0,1114000.0,0.30944444444444447
Traer informacion estudiante - banner,start,6426,2016-02-01 18:53:46,Traer informacion estudiante - banner,6426,81102,Variant 2,2,Fluxicon Disco,0,81102_Traer informacion estudiante - banner_0,complete,6426,2016-02-01 18:53:46,Traer informacion estudiante - banner,6426,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,6426,2016-02-01 18:53:50,Radicar Solicitud Homologacion,6426,81102,Variant 2,2,Fluxicon Disco,0,81102_Radicar Solicitud Homologacion_0,complete,6426,2016-02-01 19:09:56,Radicar Solicitud Homologacion,6426,Variant 2,2,Fluxicon Disco,0,0 days 00:16:06,966.0,966000.0,0.2683333333333333
Validar solicitud,start,22475,2016-02-03 19:47:36,Validar solicitud,22475,81102,Variant 2,2,Fluxicon Disco,0,81102_Validar solicitud_0,complete,22475,2016-02-03 19:49:35,Validar solicitud,22475,Variant 2,2,Fluxicon Disco,0,0 days 00:01:59,119.0,119000.0,0.03305555555555555
Homologacion por grupo de cursos,start,1343,2016-02-03 22:59:19,Homologacion por grupo de cursos,1343,81102,Variant 2,2,Fluxicon Disco,0,81102_Homologacion por grupo de cursos_0,complete,1343,2016-02-03 23:48:38,Homologacion por grupo de cursos,1343,Variant 2,2,Fluxicon Disco,0,0 days 00:49:19,2959.0,2959000.0,0.8219444444444445
Traer informacion estudiante - banner,start,8916,2016-02-02 07:39:32,Traer informacion estudiante - banner,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Traer informacion estudiante - banner_0,complete,8916,2016-02-02 07:39:32,Traer informacion estudiante - banner,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,8916,2016-02-02 07:39:38,Radicar Solicitud Homologacion,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Radicar Solicitud Homologacion_0,complete,8916,2016-02-02 07:55:38,Radicar Solicitud Homologacion,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:16:00,960.0,960000.0,0.26666666666666666
Notificacion estudiante cancelacion soli,start,8916,2016-02-04 04:15:31,Notificacion estudiante cancelacion soli,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Notificacion estudiante cancelacion soli_0,complete,8916,2016-02-04 04:15:31,Notificacion estudiante cancelacion soli,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Cancelar Solicitud,start,8916,2016-02-04 06:15:12,Cancelar Solicitud,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Cancelar Solicitud_0,complete,8916,2016-02-04 06:15:12,Cancelar Solicitud,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Traer informacion estudiante - banner,start,4867,2016-02-02 10:30:08,Traer informacion estudiante - banner,4867,81301,Variant 9,9,Fluxicon Disco,0,81301_Traer informacion estudiante - banner_0,complete,4867,2016-02-02 10:30:08,Traer informacion estudiante - banner,4867,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Radicar Solicitud Homologacion,start,4867,2016-02-02 10:30:12,Radicar Solicitud Homologacion,4867,81301,Variant 9,9,Fluxicon Disco,0,81301_Radicar Solicitud Homologacion_0,complete,4867,2016-02-02 10:30:12,Radicar Solicitud Homologacion,4867,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Validar solicitud,start,22475,2016-02-02 10:38:03,Validar solicitud,22475,81301,Variant 9,9,Fluxicon Disco,0,81301_Validar solicitud_0,complete,22475,2016-02-02 10:49:59,Validar solicitud,22475,Variant 9,9,Fluxicon Disco,0,0 days 00:11:56,716.0,716000.0,0.1988888888888889
Cancelar Solicitud,start,669,2016-02-02 10:38:03,Cancelar Solicitud,669,81301,Variant 9,9,Fluxicon Disco,0,81301_Cancelar Solicitud_0,complete,669,2016-02-02 11:10:03,Cancelar Solicitud,669,Variant 9,9,Fluxicon Disco,0,0 days 00:32:00,1920.0,1920000.0,0.5333333333333333
Notificacion estudiante cancelacion soli,start,669,2016-02-08 14:22:23,Notificacion estudiante cancelacion soli,669,81301,Variant 9,9,Fluxicon Disco,0,81301_Notificacion estudiante cancelacion soli_0,complete,669,2016-02-08 14:22:23,Notificacion estudiante cancelacion soli,669,Variant 9,9,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
Homologacion por grupo de cursos,start,1007,2016-02-03 15:03:14,Homologacion por grupo de cursos,1007,81801,Variant 15,15,Fluxicon Disco,0,81801_Homologacion por grupo de cursos_0,complete,1007,2016-02-03 16:11:05,Homologacion por grupo de cursos,1007,Variant 15,15,Fluxicon Disco,0,0 days 01:07:51,4071.0,4071000.0,1.1308333333333334
Traer informacion estudiante - banner,start,8997,2016-02-03 16:13:10,Traer informacion estudiante - banner,8997,81801,Variant 15,15,Fluxicon Disco,0,81801_Traer informacion estudiante - banner_0,complete,8997,2016-02-03 16:13:10,Traer informacion estudiante - banner,8997,Variant 15,15,Fluxicon Disco,0,0 days 00:00:00,0.0,0.0,0.0
