Activity,lifecycle:transition_start,org:resource_start,Start Timestamp,Complete Timestamp,Resource,Case ID,case:variant_start,case:variant-index_start,case:creator_start,event_index_start,EventID,lifecycle:transition_complete,org:resource_complete,Unnamed: 14,Activity_complete,Resource_complete,case:variant_complete,case:variant-index_complete,case:creator_complete,event_index_complete,duration,duration_seconds,duration_ms,duration_hours,Activity_start
Traer informacion estudiante - banner,start,8997,2016-02-01 13:23:52,2016-02-01 13:23:52,8997,81051,Variant 2,2,Fluxicon Disco,0,81051_Traer informacion estudiante - banner_0,complete,8997,,Traer informacion estudiante - banner,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8997,2016-02-01 13:24:02,2016-02-01 13:24:02,8997,81051,Variant 2,2,Fluxicon Disco,0,81051_Radicar Solicitud Homologacion_0,complete,8997,,Radicar Solicitud Homologacion,8997,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Radicar Solicitud Homologacion
Validar solicitud,start,387,2016-02-01 13:27:47,2016-02-01 13:32:06,387,81051,Variant 2,2,Fluxicon Disco,0,81051_Validar solicitud_0,complete,387,,Validar solicitud,387,Variant 2,2,Fluxicon Disco,0,0 days 00:04:19,259,259000,0.0719444444444445,Validar solicitud
Homologacion por grupo de cursos,start,1007,2016-02-01 21:19:41,2016-02-01 21:38:15,1007,81051,Variant 2,2,Fluxicon Disco,0,81051_Homologacion por grupo de cursos_0,complete,1007,,Homologacion por grupo de cursos,1007,Variant 2,2,Fluxicon Disco,0,0 days 00:18:34,1114,1114000,0.309444444444444,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,6426,2016-02-01 18:53:46,2016-02-01 18:53:46,6426,81102,Variant 2,2,Fluxicon Disco,0,81102_Traer informacion estudiante - banner_0,complete,6426,,Traer informacion estudiante - banner,6426,Variant 2,2,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,6426,2016-02-01 18:53:50,2016-02-01 19:09:56,6426,81102,Variant 2,2,Fluxicon Disco,0,81102_Radicar Solicitud Homologacion_0,complete,6426,,Radicar Solicitud Homologacion,6426,Variant 2,2,Fluxicon Disco,0,0 days 00:16:06,966,966000,0.268333333333333,Radicar Solicitud Homologacion
Validar solicitud,start,22475,2016-02-03 19:47:36,2016-02-03 19:49:35,22475,81102,Variant 2,2,Fluxicon Disco,0,81102_Validar solicitud_0,complete,22475,,Validar solicitud,22475,Variant 2,2,Fluxicon Disco,0,0 days 00:01:59,119,119000,0.0330555555555556,Validar solicitud
Homologacion por grupo de cursos,start,1343,2016-02-03 22:59:19,2016-02-03 23:48:38,1343,81102,Variant 2,2,Fluxicon Disco,0,81102_Homologacion por grupo de cursos_0,complete,1343,,Homologacion por grupo de cursos,1343,Variant 2,2,Fluxicon Disco,0,0 days 00:49:19,2959,2959000,0.821944444444445,Homologacion por grupo de cursos
Traer informacion estudiante - banner,start,8916,2016-02-02 07:39:32,2016-02-02 07:39:32,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Traer informacion estudiante - banner_0,complete,8916,,Traer informacion estudiante - banner,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:00:00,0,0,0.0,Traer informacion estudiante - banner
Radicar Solicitud Homologacion,start,8916,2016-02-02 07:39:38,2016-02-02 07:55:38,8916,81201,Variant 22,22,Fluxicon Disco,0,81201_Radicar Solicitud Homologacion_0,complete,8916,,Radicar Solicitud Homologacion,8916,Variant 22,22,Fluxicon Disco,0,0 days 00:16:00,960,960000,0.266666666666667,Radicar Solicitud Homologacion
