concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Traer informacion estudiante - banner,start,8997,2016-02-01 13:23:52+00:00,Traer informacion estudiante - banner,8997,81051,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,8997,2016-02-01 13:23:52+00:00,Traer informacion estudiante - banner,8997,81051,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,8997,2016-02-01 13:24:02+00:00,Radicar Solicitud Homologacion,8997,81051,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8997,2016-02-01 13:24:02+00:00,Radicar Solicitud Homologacion,8997,81051,Variant 2,2,Fluxicon Disco
Validar solicitud,start,387,2016-02-01 13:27:47+00:00,Validar solicitud,387,81051,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,387,2016-02-01 13:32:06+00:00,Validar solicitud,387,81051,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1007,2016-02-01 21:19:41+00:00,Homologacion por grupo de cursos,1007,81051,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1007,2016-02-01 21:38:15+00:00,Homologacion por grupo de cursos,1007,81051,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,6426,2016-02-01 18:53:46+00:00,Traer informacion estudiante - banner,6426,81102,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,complete,6426,2016-02-01 18:53:46+00:00,Traer informacion estudiante - banner,6426,81102,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,start,6426,2016-02-01 18:53:50+00:00,Radicar Solicitud Homologacion,6426,81102,Variant 2,2,Fluxicon Disco
Radicar Solicitud Homologacion,complete,6426,2016-02-01 19:09:56+00:00,Radicar Solicitud Homologacion,6426,81102,Variant 2,2,Fluxicon Disco
Validar solicitud,start,22475,2016-02-03 19:47:36+00:00,Validar solicitud,22475,81102,Variant 2,2,Fluxicon Disco
Validar solicitud,complete,22475,2016-02-03 19:49:35+00:00,Validar solicitud,22475,81102,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,start,1343,2016-02-03 22:59:19+00:00,Homologacion por grupo de cursos,1343,81102,Variant 2,2,Fluxicon Disco
Homologacion por grupo de cursos,complete,1343,2016-02-03 23:48:38+00:00,Homologacion por grupo de cursos,1343,81102,Variant 2,2,Fluxicon Disco
Traer informacion estudiante - banner,start,8916,2016-02-02 07:39:32+00:00,Traer informacion estudiante - banner,8916,81201,Variant 22,22,Fluxicon Disco
Traer informacion estudiante - banner,complete,8916,2016-02-02 07:39:32+00:00,Traer informacion estudiante - banner,8916,81201,Variant 22,22,Fluxicon Disco
Radicar Solicitud Homologacion,start,8916,2016-02-02 07:39:38+00:00,Radicar Solicitud Homologacion,8916,81201,Variant 22,22,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8916,2016-02-02 07:55:38+00:00,Radicar Solicitud Homologacion,8916,81201,Variant 22,22,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,8916,2016-02-04 04:15:31+00:00,Notificacion estudiante cancelacion soli,8916,81201,Variant 22,22,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,8916,2016-02-04 04:15:31+00:00,Notificacion estudiante cancelacion soli,8916,81201,Variant 22,22,Fluxicon Disco
Cancelar Solicitud,start,8916,2016-02-04 06:15:12+00:00,Cancelar Solicitud,8916,81201,Variant 22,22,Fluxicon Disco
Cancelar Solicitud,complete,8916,2016-02-04 06:15:12+00:00,Cancelar Solicitud,8916,81201,Variant 22,22,Fluxicon Disco
Traer informacion estudiante - banner,start,4867,2016-02-02 10:30:08+00:00,Traer informacion estudiante - banner,4867,81301,Variant 9,9,Fluxicon Disco
Traer informacion estudiante - banner,complete,4867,2016-02-02 10:30:08+00:00,Traer informacion estudiante - banner,4867,81301,Variant 9,9,Fluxicon Disco
Radicar Solicitud Homologacion,start,4867,2016-02-02 10:30:12+00:00,Radicar Solicitud Homologacion,4867,81301,Variant 9,9,Fluxicon Disco
Radicar Solicitud Homologacion,complete,4867,2016-02-02 10:30:12+00:00,Radicar Solicitud Homologacion,4867,81301,Variant 9,9,Fluxicon Disco
Validar solicitud,start,22475,2016-02-02 10:38:03+00:00,Validar solicitud,22475,81301,Variant 9,9,Fluxicon Disco
Cancelar Solicitud,start,669,2016-02-02 10:38:03+00:00,Cancelar Solicitud,669,81301,Variant 9,9,Fluxicon Disco
Validar solicitud,complete,22475,2016-02-02 10:49:59+00:00,Validar solicitud,22475,81301,Variant 9,9,Fluxicon Disco
Cancelar Solicitud,complete,669,2016-02-02 11:10:03+00:00,Cancelar Solicitud,669,81301,Variant 9,9,Fluxicon Disco
Notificacion estudiante cancelacion soli,start,669,2016-02-08 14:22:23+00:00,Notificacion estudiante cancelacion soli,669,81301,Variant 9,9,Fluxicon Disco
Notificacion estudiante cancelacion soli,complete,669,2016-02-08 14:22:23+00:00,Notificacion estudiante cancelacion soli,669,81301,Variant 9,9,Fluxicon Disco
Homologacion por grupo de cursos,start,1007,2016-02-03 15:03:14+00:00,Homologacion por grupo de cursos,1007,81801,Variant 15,15,Fluxicon Disco
Homologacion por grupo de cursos,complete,1007,2016-02-03 16:11:05+00:00,Homologacion por grupo de cursos,1007,81801,Variant 15,15,Fluxicon Disco
Traer informacion estudiante - banner,start,8997,2016-02-03 16:13:10+00:00,Traer informacion estudiante - banner,8997,81801,Variant 15,15,Fluxicon Disco
Traer informacion estudiante - banner,complete,8997,2016-02-03 16:13:10+00:00,Traer informacion estudiante - banner,8997,81801,Variant 15,15,Fluxicon Disco
Radicar Solicitud Homologacion,start,8997,2016-02-03 16:13:17+00:00,Radicar Solicitud Homologacion,8997,81801,Variant 15,15,Fluxicon Disco
Radicar Solicitud Homologacion,complete,8997,2016-02-03 16:13:57+00:00,Radicar Solicitud Homologacion,8997,81801,Variant 15,15,Fluxicon Disco
